Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J3         usb_typeB_mini_smd        4.75mm          74mm        4.75mm          74mm         7.5mm        72.4mm  B         90.00 Mini USB Type B
K61        TACTILE_SWITCH_GATERON_PCB      189.25mm       18.54mm      189.25mm          16mm      185.44mm       18.54mm  T          0.00 KEY0           
K60        TACTILE_SWITCH_GATERON_PCB         158mm       18.54mm         158mm          16mm      154.19mm       18.54mm  T          0.00 KEY0           
K59        TACTILE_SWITCH_GATERON_PCB       129.5mm       18.54mm       129.5mm          16mm      125.69mm       18.54mm  T          0.00 KEY0           
K58        TACTILE_SWITCH_GATERON_PCB         101mm       18.54mm         101mm          16mm       97.19mm       18.54mm  T          0.00 KEY0           
K57        TACTILE_SWITCH_GATERON_PCB     69.7499mm       18.54mm     69.7499mm          16mm     65.9399mm       18.54mm  T          0.00 KEY0           
K56        TACTILE_SWITCH_GATERON_PCB     46.2499mm       18.54mm     46.2499mm          16mm     42.4399mm       18.54mm  T          0.00 KEY0           
K55        TACTILE_SWITCH_GATERON_PCB     20.4999mm       18.54mm     20.4999mm          16mm     16.6899mm       18.54mm  T          0.00 KEY0           
K54        TACTILE_SWITCH_GATERON_PCB    262.5001mm       37.54mm    262.5001mm          35mm    258.6901mm       37.54mm  T          0.00 KEY0           
K53        TACTILE_SWITCH_GATERON_PCB    234.0001mm     37.5401mm    234.0001mm     35.0001mm    230.1901mm     37.5401mm  T          0.00 KEY0           
K52        TACTILE_SWITCH_GATERON_PCB         215mm     37.5401mm         215mm     35.0001mm      211.19mm     37.5401mm  T          0.00 KEY0           
K51        TACTILE_SWITCH_GATERON_PCB    196.0001mm     37.5401mm    196.0001mm     35.0001mm    192.1901mm     37.5401mm  T          0.00 KEY0           
K50        TACTILE_SWITCH_GATERON_PCB    177.0001mm     37.5401mm    177.0001mm     35.0001mm    173.1901mm     37.5401mm  T          0.00 KEY0           
K49        TACTILE_SWITCH_GATERON_PCB    158.0001mm     37.5401mm    158.0001mm     35.0001mm    154.1901mm     37.5401mm  T          0.00 KEY0           
K48        TACTILE_SWITCH_GATERON_PCB         139mm     37.5401mm         139mm     35.0001mm      135.19mm     37.5401mm  T          0.00 KEY0           
K47        TACTILE_SWITCH_GATERON_PCB         120mm     37.5401mm         120mm     35.0001mm      116.19mm     37.5401mm  T          0.00 KEY0           
K46        TACTILE_SWITCH_GATERON_PCB    101.0001mm     37.5401mm    101.0001mm     35.0001mm     97.1901mm     37.5401mm  T          0.00 KEY0           
K45        TACTILE_SWITCH_GATERON_PCB          82mm     37.5401mm          82mm     35.0001mm       78.19mm     37.5401mm  T          0.00 KEY0           
K44        TACTILE_SWITCH_GATERON_PCB     63.0001mm     37.5401mm     63.0001mm     35.0001mm       59.19mm     37.5401mm  T          0.00 KEY0           
K43        TACTILE_SWITCH_GATERON_PCB          44mm     37.5401mm          44mm     35.0001mm       40.19mm     37.5401mm  T          0.00 KEY0           
K42        TACTILE_SWITCH_GATERON_PCB     20.4999mm     37.5401mm     20.4999mm     35.0001mm     16.6899mm     37.5401mm  T          0.00 KEY0           
K41        TACTILE_SWITCH_GATERON_PCB    253.0001mm       56.54mm    253.0001mm          54mm    249.1901mm       56.54mm  T          0.00 KEY0           
K40        TACTILE_SWITCH_GATERON_PCB    234.0001mm     56.5401mm    234.0001mm     54.0001mm    230.1901mm     56.5401mm  T          0.00 KEY0           
K39        TACTILE_SWITCH_GATERON_PCB         215mm     56.5401mm         215mm     54.0001mm      211.19mm     56.5401mm  T          0.00 KEY0           
K38        TACTILE_SWITCH_GATERON_PCB         196mm     56.5401mm         196mm     54.0001mm      192.19mm     56.5401mm  T          0.00 KEY0           
K37        TACTILE_SWITCH_GATERON_PCB    177.0001mm     56.5401mm    177.0001mm     54.0001mm    173.1901mm     56.5401mm  T          0.00 KEY0           
K36        TACTILE_SWITCH_GATERON_PCB    158.0001mm     56.5401mm    158.0001mm     54.0001mm    154.1901mm     56.5401mm  T          0.00 KEY0           
K35        TACTILE_SWITCH_GATERON_PCB    139.0001mm     56.5401mm    139.0001mm     54.0001mm    135.1901mm     56.5401mm  T          0.00 KEY0           
K34        TACTILE_SWITCH_GATERON_PCB         120mm     56.5401mm         120mm     54.0001mm      116.19mm     56.5401mm  T          0.00 KEY0           
K33        TACTILE_SWITCH_GATERON_PCB    101.0001mm     56.5401mm    101.0001mm     54.0001mm     97.1901mm     56.5401mm  T          0.00 KEY0           
K32        TACTILE_SWITCH_GATERON_PCB          82mm     56.5401mm          82mm     54.0001mm       78.19mm     56.5401mm  T          0.00 KEY0           
K31        TACTILE_SWITCH_GATERON_PCB     63.0001mm     56.5401mm     63.0001mm     54.0001mm       59.19mm     56.5401mm  T          0.00 KEY0           
K30        TACTILE_SWITCH_GATERON_PCB          44mm     56.5401mm          44mm     54.0001mm       40.19mm     56.5401mm  T          0.00 KEY0           
K29        TACTILE_SWITCH_GATERON_PCB     20.4999mm       56.54mm     20.4999mm          54mm     16.6899mm       56.54mm  T          0.00 KEY0           
K28        TACTILE_SWITCH_GATERON_PCB         272mm     66.0403mm         272mm     63.5003mm      268.19mm     66.0403mm  T          0.00 KEY0           
